id,vege_name,recipe,食譜網址來源,image_path
464875,四季豆(敏豆),金沙四季豆,https://icook.tw/recipes/464875,四季豆(敏豆)/464875_金沙四季豆.jpg
468428,四季豆(敏豆),四季豆番茄炒蛋,https://icook.tw/recipes/468428,四季豆(敏豆)/468428_四季豆番茄炒蛋.jpg
457625,四季豆(敏豆),番茄四季豆,https://icook.tw/recipes/457625,四季豆(敏豆)/457625_番茄四季豆.jpg
479126,四季豆(敏豆),香煎雞腿排同步完成炒蘑菇四季豆,https://icook.tw/recipes/479126,四季豆(敏豆)/479126_香煎雞腿排同步完成炒蘑菇四季豆.jpg
466689,四季豆(敏豆),四季豆鮭魚炒飯,https://icook.tw/recipes/466689,四季豆(敏豆)/466689_四季豆鮭魚炒飯.jpg
459457,四季豆(敏豆),四季豆炒五花肉絲,https://icook.tw/recipes/459457,四季豆(敏豆)/459457_四季豆炒五花肉絲.jpg
472594,四季豆(敏豆),蒜香四季豆（不用油炸）,https://icook.tw/recipes/472594,四季豆(敏豆)/472594_蒜香四季豆（不用油炸）.jpg
470238,四季豆(敏豆),金沙乾煸四季豆,https://icook.tw/recipes/470238,四季豆(敏豆)/470238_金沙乾煸四季豆.jpg
467448,四季豆(敏豆),四季豆炒雞丁,https://icook.tw/recipes/467448,四季豆(敏豆)/467448_四季豆炒雞丁.jpg
476788,四季豆(敏豆),榛果伍仁辣拌四季豆,https://icook.tw/recipes/476788,四季豆(敏豆)/476788_榛果伍仁辣拌四季豆.jpg
471654,四季豆(敏豆),四季豆花枝豆皮卷,https://icook.tw/recipes/471654,四季豆(敏豆)/471654_四季豆花枝豆皮卷.jpg
460932,四季豆(敏豆),四季豆捲餅,https://icook.tw/recipes/460932,四季豆(敏豆)/460932_四季豆捲餅.jpg
456620,四季豆(敏豆),四季豆炒香腸,https://icook.tw/recipes/456620,四季豆(敏豆)/456620_四季豆炒香腸.jpg
475057,四季豆(敏豆),香甜鮭魚佐四季豆｜烤箱料理｜5步驟,https://icook.tw/recipes/475057,四季豆(敏豆)/475057_香甜鮭魚佐四季豆｜烤箱料理｜5步驟.jpg
431254,四季豆(敏豆),敏豆炒蝦仁,https://icook.tw/recipes/431254,四季豆(敏豆)/431254_敏豆炒蝦仁.jpg
460290,四季豆(敏豆),四季豆肉末,https://icook.tw/recipes/460290,四季豆(敏豆)/460290_四季豆肉末.jpg
466869,四季豆(敏豆),乾扁四季豆（氣炸鍋）,https://icook.tw/recipes/466869,四季豆(敏豆)/466869_乾扁四季豆（氣炸鍋）.jpg
469124,四季豆(敏豆),四季豆炒杏鮑菇,https://icook.tw/recipes/469124,四季豆(敏豆)/469124_四季豆炒杏鮑菇.jpg
466559,四季豆(敏豆),四季豆炒素雞,https://icook.tw/recipes/466559,四季豆(敏豆)/466559_四季豆炒素雞.jpg
462489,四季豆(敏豆),蒜炒四季豆,https://icook.tw/recipes/462489,四季豆(敏豆)/462489_蒜炒四季豆.jpg
457815,四季豆(敏豆),烤四季豆,https://icook.tw/recipes/457815,四季豆(敏豆)/457815_烤四季豆.jpg
471656,四季豆(敏豆),酸辣四季豆肉排絲醬,https://icook.tw/recipes/471656,四季豆(敏豆)/471656_酸辣四季豆肉排絲醬.jpg
461659,四季豆(敏豆),四季豆炒雞胸肉,https://icook.tw/recipes/461659,四季豆(敏豆)/461659_四季豆炒雞胸肉.jpg
471861,四季豆(敏豆),阿廣四季豆（避風塘蟹口味）,https://icook.tw/recipes/471861,四季豆(敏豆)/471861_阿廣四季豆（避風塘蟹口味）.jpg
461567,四季豆(敏豆),菜脯四季豆,https://icook.tw/recipes/461567,四季豆(敏豆)/461567_菜脯四季豆.jpg
467718,四季豆(敏豆),涼拌四季豆＊白芥末風味,https://icook.tw/recipes/467718,四季豆(敏豆)/467718_涼拌四季豆＊白芥末風味.jpg
476647,地瓜,栗子地瓜蘋果汁,https://icook.tw/recipes/476647,地瓜/476647_栗子地瓜蘋果汁.jpg
479552,地瓜,地瓜布蕾,https://icook.tw/recipes/479552,地瓜/479552_地瓜布蕾.jpg
479553,地瓜,地瓜松露巧克力,https://icook.tw/recipes/479553,地瓜/479553_地瓜松露巧克力.jpg
479551,地瓜,地瓜泥沙拉,https://icook.tw/recipes/479551,地瓜/479551_地瓜泥沙拉.jpg
