id,recipe,vege_id
477736,娃娃菜炒鴻喜菇,17
466276,燒肉燉娃娃菜,17
474483,清炒娃娃菜心,17
472310,豆腐乳燴娃娃菜,17
471878,娃娃菜炒香菇,17
474154,麻油薑絲炒娃娃菜,17
475747,千層娃娃菜肉片鍋,17
459464,乳酪奶汁娃娃菜,17
469179,牛奶娃娃菜燉雞,17
473750,清炒娃娃菜腐皮,17
470519,扁魚炒娃娃菜,17
474439,芥菜娃娃菜燴炒豬肉片,17
469203,蒜香蝦米娃娃菜,17
466710,紅燒豆腐娃娃菜,17
465022,辣油爆炒娃娃菜,17
467075,#274 香菇炒娃娃菜,17
475827,龜甲萬味自慢系列-薑燒娃娃菜燉肉,17
472538,酸辣泡椒娃娃菜(五辛素),17
472578,椒麻涼拌娃娃菜(五辛素),17
466556,蝦皮清炒娃娃菜,17
464266,香菇蛋香娃娃菜,17
465914,寶寶食譜｜娃娃菜肉卷,17
476704,龜甲萬味自慢-親子丼用醬/娃娃菜煲豆腐,17
462927,酸辣娃娃菜金針菇,17
465993,涼拌娃娃菜(五辛素),17
458527,蠔油干貝娃娃菜,17
465195,蒜味娃娃菜燒肉飯,17
462050,清冰箱料理/娃娃菜滷,17
477366,醬香豆腐蝦仁娃娃菜煲-李錦記頭道原釀醬油,17
450424,鴻禧菇炒娃娃菜,17
452326,娃娃菜蛤蜊雞湯,17
453937,瑤柱娃娃菜,17
446858,清炒娃娃菜,17
449363,娃娃菜蝦球春雨湯,17
441844,娃娃菜燉雞湯,17
451244,好久沒吃娃娃菜料理了 豆腸娃娃菜,17
454303,干貝風味娃娃菜燉雞片豆腐,17
440993,娃娃菜蒸肉,17
445572,XO醬炒娃娃菜,17
439128,清炒娃娃菜,17
479385,寶寶·吻仔魚小白菜蛋黃粥,7
474407,小白菜吻仔魚粥,7
467864,蒜炒金針菇小白菜,7
460978,韓式小白菜泡菜(二),7
462213,懶人料理-微波爐-雞肉小白菜,7
447706,三杯小白菜,7
449916,薑絲小白菜 / 家常菜,7
448828,小白菜雞肉湯,7
446118,小白菜炒甜不辣,7
453904,小白菜燴炸腐竹,7
429631,小白菜炒蛋,7
434384,蒜炒小白菜/快炒/5分鐘/簡單快速,7
436784,清炒小白菜,7
438263,炒青菜｜薑絲小白菜,7
433844,小白菜豆皮,7
439385,60蜂蜜奶油豬肉、蔥爆豬肉、蛋炒小白菜,7
422712,炒小白菜,7
437922,小白菜炒肉片（減脂料理）,7
425372,香菇炒小白菜,7
434838,我的家常菜～小白菜炒泡麵,7
424940,素食 小白菜炒飯,7
428985,韓式涼拌小白菜얼갈이된장무침,7
416776,小白菜煎蛋,7
435823,我的家常菜～油蔥酥小白菜蛋花湯,7
415973,蘑菇小白菜,7
425292,蝦仁清炒小白菜,7
479390,鹹魚炒白菜,7
438332,55麻婆豆腐起司飯、炒小白菜,7
418495,小白菜餛飩湯,7
418842,薑絲炒小白菜,7
428101,42檸檬雞、炒小白菜,7
439244,56雪花牛、小白菜、透抽之小火鍋,7
428700,腐乳清炒小白菜(純素),7
469925,簡易米紙蚵仔煎,7
474024,《鱸魚米粉湯》,7
411308,小白菜泡菜얼갈이김치,7
413963,小白菜炒豆包,7
434368,免開火蒜香小白菜/熱水瓶料理/5分鐘,7
476487,家常炒麵,7
476181,蔬菜肉湯炒麵,7
474764,鯛魚紅燒蕃茄麵,7
417460,小白菜全麥雞蛋煎餅,7
472273,南瓜蔬菜湯/素/10分鐘/零廚藝,7
405783,炒小白菜,7
473712,低卡蝦仁煎樂樂瑪麻,7
474064,台式海鮮麵-朝日鍋,7
406925,小白菜炒菇菇,7
468979,（超簡單）青菜豆腐湯,7
408206,小白菜肉絲炒冬粉,7
478968,涼拌小黃瓜,48
478750,醃小黃瓜,48
479380,醬漬小黃瓜,48
478269,皮蛋涼拌小黃瓜,48
478364,淺漬小黃瓜,48
478038,臘腸炒小黃瓜,48
478088,蝦仁炒蛋小黃瓜,48
479279,鳳梨涼拌小黃瓜(純素),48
477721,涼拌小黃瓜,48
471979,蠔油味小黃瓜炒蛋,48
476623,小黃瓜蛋餅,48
478615,麻香涼拌小黃瓜,48
478571,蒜味涼拌小黃瓜,48
478459,《開胃涼拌菜》青梅小黃瓜,48
476349,涼拌小黃瓜皮蛋,48
477813,涼拌小黃瓜 / 蛇型,48
458242,芋頭貢丸炒小黃瓜,48
479621,芝麻油拌小黃瓜蟹肉絲,48
477182,香辣涼拌小黃瓜,48
479349,雪碧小黃瓜,48
468319,小黃瓜炒德國香腸,48
479135,減醣小菜-奶油小黃瓜,48
463175,小黃瓜炒香菇,48
467978,小黃瓜炒百葉豆腐,48
478433,夏日小菜同樂會-小黃瓜涼拌菜,48
475780,涼拌鮪魚小黃瓜,48
477592,涼拌菜 小黃瓜皮蛋佐香菜,48
477529,夏日涼拌菜- 辣味韓式小黃瓜,48
460559,小黃瓜炒麵腸,48
475468,蒜香雞肉小黃瓜,48
473165,油潑辣子小黃瓜炒皮蛋,48
479176,涼拌小黃瓜食譜（蒜味版）,48
477003,小黃瓜優格鮪魚玉米,48
478711,夏日小菜同樂會-小黃瓜沾醬,48
478982,涼拌小黃瓜雪白菇秋葵,48
473439,香煎小熱狗炒小黃瓜,48
476311,【全素】薑鮮小黃瓜,48
466815,糖醋豬後腿肉丁炒小黃瓜,48
466817,咖喱肉絲炒小黃瓜,48
471817,辣味涼拌小黃瓜,48
473943,凉拌小黃瓜,48
475951,涼拌小黃瓜(蒜辣口味）,48
477860,脆皮燒肉佐涼拌小黃瓜,48
468885,味噌小黃瓜,48
461173,海帶結炒小黃瓜,48
478003,醬油山藥,38
476835,山藥排骨麵線,38
474656,明太子烤山藥,38
476698,山藥紅蘿蔔軟骨肉,38
467394,山藥,38
476492,電鍋-蓮子山藥排骨湯,38
472217,人蔘山藥雞湯,38
471625,《山藥排骨湯》,38
457590,山藥雞肉枸杞五穀粥,38
471870,山藥補氣雞湯,38
457636,山藥枸杞雞湯 電鍋料理,38
472462,紅棗山藥涼糕｜Vitamix,38
474629,山藥紅蘿蔔玉米排骨湯,38
469737,山藥雞腿湯,38
469443,山藥排骨湯,38
471190,山藥排骨湯（電鍋）,38
469214,山藥紅豆湯,38
477770,日式紫蘇涼拌山藥（全素）,38
472247,山藥秋葵拌飯,38
470649,麻油紅棗山藥雞湯,38
464847,山藥湯,38
473914,山藥蟲草菌菇雞腿湯,38
466584,蓮藕山藥排骨湯,38
471609,哈佛蔬菜湯+山藥排骨湯,38
466586,山藥玉米排骨湯,38
463501,雞肉、山藥丸子,38
468929,山藥排骨暖胃湯,38
474650,山藥排骨湯 ｜北鼎多功能蒸燉鍋,38
472272,步步高升山藥百香果醬汁（年菜）,38
468919,蘋果山藥藥膳雞湯,38
464300,白木耳山藥甜湯,38
463854,馬告山藥雞湯,38
468995,豬五花山藥玉米火鍋,38
466020,紅薯餅（紫山藥餅）,38
465710,寶寶副食品～山藥雞肉粥,38
454516,山藥雞湯,38
457777,月亮山藥餅,38
466120,電鍋出好菜山藥蒸肉餅,38
456570,山藥炒肉片,38
456487,日本山藥絲瓜,38
459048,山藥蘋果排骨湯,38
472623,《年菜再利用》-山藥玉米豬腳湯/排骨湯,38
451043,紫山藥煎餅,38
455280,清蒸山藥｜三鮮肉丸,38
469254,用赤味噌當作湯底 味噌山藥豆腐烏龍麵,38
451391,蘋果山藥雞湯,38
473407,炒山蘇,24
451307,山蘇炒肉絲,24
472766,茄汁煮山蘇,24
452639,樹子炒山蘇,24
471731,XO干貝醬熱炒山蘇,24
462767,蔭瓜山蘇,24
461585,麻香炒山蘇,24
446554,山蘇炒香菇,24
451864,吻仔魚炒山蘇,24
440369,破布子炒山蘇,24
430653,快炒山蘇,24
432271,豆豉小魚乾炒山蘇,24
426180,香辣小魚炒山蘇,24
403805,豆豉山蘇,24
401344,樹子小魚山蘇,24
385524,味噌炒山蘇,24
400285,福菜炒山蘇 家常菜客家菜,24
390400,鮮蚵炒山蘇,24
371463,樹子山蘇,24
386954,薑香破布子炒山蘇,24
378770,低GI干貝清炒山蘇,24
365592,小魚乾炒山蘇,24
362026,山蘇炒小魚乾,24
334301,XO醬炒山蘇,24
332324,小魚干炒山蘇,24
435958,清燉牛肉麵,24
314603,山蘇炒章魚腳,24
316829,樹子（破布子）炒山蘇,24
299992,山蘇炒豬肉,24
311804,麻油炒山蘇（五分鐘出家常菜）,24
318533,樹子炒山蘇【飛利浦智慧萬用電子鍋】,24
311044,熱炒最愛點山蘇炒丁香,24
302072,樹子小魚乾炒山蘇,24
402491,素食年菜芙蓉香酥羹全素,24
294414,薑味樹子山蘇,24
271682,山蘇肉片,24
303799,【香辣小魚乾炒山蘇】 開胃菜下酒菜,24
300023,杏鮑菇雞湯、小魚乾炒山蘇-美味低溫料理,24
272873,樹子炒山蘇,24
258575,小魚花生炒山蘇,24
285497,征服饕者的胃~豆豉山蘇,24
243188,山蘇小魚干,24
479142,櫛瓜肉卷 (櫛瓜料理懶人包),44
478757,乾煎櫛瓜鮮菇 / 家常菜,44
479194,櫛瓜煎餅,44
474077,蒜香櫛瓜義麵,44
478796,香煎櫛瓜,44
478569,煎櫛瓜,44
479657,鮭魚櫛瓜炒飯,44
479247,牛肉炒櫛瓜,44
477885,節瓜炒蝦仁,44
473787,櫛瓜食譜-櫛瓜麵,44
477863,清爽櫛瓜麵,44
478228,韓式櫛瓜煎餅,44
479255,櫛瓜炒鮮蝦,44
479459,櫛瓜蒜味鹹豬肉,44
477265,櫛瓜豆腐包,44
479428,櫛瓜起司堡,44
479391,椒鹽櫛瓜炒雞,44
479165,堅果櫛瓜炒雞丁,44
473780,金沙板豆腐燴節瓜,44
478838,蒜香櫛瓜炒蛋,44
475878,櫛瓜水果沙拉,44
479607,焗烤/鹽烤櫛瓜,44
479736,櫛瓜花枝蝦滑堡,44
477440,櫛瓜烘蛋,44
475254,地中海櫛瓜橄欖吐司,44
476219,沙茶牛肉炒櫛瓜,44
471553,氣炸鍋～櫛瓜,44
472707,櫛瓜高麗菜 / 家常菜,44
470880,櫛瓜煎蛋,44
475809,櫛瓜蝦滑捲,44
476528,焗烤嫩蛋節瓜,44
476953,鯷魚炒櫛瓜玉米筍,44
475087,金沙櫛瓜炒雞,44
473230,泡菜櫛瓜炒雞胸肉,44
472321,櫛瓜炒蝦仁,44
476481,櫛瓜起司烤餅,44
475970,蒜香涼拌鮪魚櫛瓜,44
474219,茄汁櫛瓜雞丁,44
477527,清爽櫛瓜壽司捲（蛋素）,44
477029,每日堅果櫛瓜青醬義大利麵,44
477722,十分鐘上菜-椒鹽乾煎節瓜,44
470473,櫛瓜牛肉捲,44
470628,簡單-氣炸櫛瓜,44
476646,櫛瓜花枝漿豆皮捲,44
476336,韭菜菇菇炒櫛瓜麵,44
477615,麻油薑泥櫛瓜炒飯（蛋素）,44
478654,蒜香奶油櫛瓜杏鮑菇,44
477997,Vegan 椰奶櫛瓜湯(燜燒鍋版),44
474107,米紙-香菇豆腐櫛瓜捲,44
479130,炒水蓮,15
479468,清炒水蓮,15
466814,水蓮煎蛋,15
477968,水蓮肉捲,15
478250,[快速] 炒水蓮,15
478225,水蓮豬肉捲,15
471966,水蓮炒百葉豆腐,15
478492,金沙水蓮杏鮑菇,15
474034,肉片炒水蓮,15
470289,豆皮炒水蓮,15
466871,水蓮與雞腿肉,15
470244,什錦水蓮拌粉絲,15
468605,紅燒皮蛋炒水蓮,15
